feature,importance
DemandMax_100_log1p,434.11241660816995
DemandMean_100_log1p,342.38009500929826
DemandMax_66_log1p,174.13975988889374
Lag_EoD_Bestand_noSiBe_mean_28Tage,172.93388115561424
DemandMax_50_log1p,118.3824509887274
Lag_EoD_Bestand_noSiBe_28Tage,115.73602868151329
DemandMean_66_log1p,112.02842346235616
EoD_Bestand_noSiBe_log1p,109.69625365863494
DeficitPos_log1p,78.4819513463096
DemandMean_50_log1p,49.60436384618657
EoD_Bestand_noSiBe,48.17952046379395
Lag_EoD_Bestand_noSiBe_mean_7Tage,44.60788378984846
Price_Material_var,41.86888593031689
Lag_EoD_Bestand_noSiBe_7Tage,37.844382107673155
DemandMax_25_log1p,27.092759037341544
DemandMean_25_log1p,16.365539186070226
WBZ_Days,10.88234952082828
