"Firma";"Lagerort";"ML_Ort_Obj";"Teil ";"S_Artikel_Obj";"Var ";"Chargennummer ";"MC_Charge_Obj";"MMM_CusRefOrder_Obj";"Bestand";"MLA_OnHand_Obj";"KommNr";"Fremdbestand";"FKom"
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2000040";"PA0490::958b368b987d32b4e11131c636643305";"";"";"";"";410,000;"PA2213:z:96ac1c65ff9e399a66147369a40cd519";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2000338";"PA0490::958b368b987d32b4e11131c606973b05";"";"";"";"";102,000;"PA2213:z:ba210465ae09ffb6651470c1e4a9fec2";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2000396";"PA0490::958b368b987d32b4e11131c66dd33d05";"";"";"";"";20.282,000;"PA2213:Ypdb:f7164d7c9795a5b45514bde33eb08ca4";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2000605";"PA0490::958b368b987d32b4e11131c61db54805";"";"";"";"";7.649,000;"PA2213:z:97b4afc198bd02ba9b14abc6a88e715e";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2000807";"PA0490::b79a8582a60eb6a9e311343bdad2055b";"";"";"";"";11.276,000;"PA2213:z:939ecf25da34a289b71422374cf3a92e";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2000809";"PA0490::c9b5af88e5444799e311fc3beaf3855b";"";"";"";"";23.421,000;"PA2213:z:8ea335af5bd46ab7a114155d243ab259";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2000900";"PA0490::afeac986bd758689e711cabf08dbdb51";"";"";"";"";578,000;"PA2213:z:a6f3fd87caa371a7bd14940fb4a88acb";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2400229";"PA0490::810d33551a42568ae4110485f090f146";"";"";"";"";1.253,000;"PA2213:z:a1de837e3f136fb3701492e840ee8e2a";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2500484";"PA0490::f8eacc7693105e95e81163f8bf4ed659";"";"";"";"";1.447,000;"PA2213:z:f4e820a76f14858ab114b2cd2c19503e";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2600073";"PA0490::958b368b987d32b4e11131c649327a05";"";"";"";"";176,000;"PA2213:Ypdb:f7164d7c9795a5b45514bde3abff2cb7";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2600089";"PA0490::958b368b987d32b4e11131c6693d7b05";"";"";"";"";14.603,000;"PA2213:Ypdb:f7164d7c9795a5b45514bde3195d8cb7";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2600199";"PA0490::958b368b987d32b4e11131c617ab7e05";"";"";"";"";70.204,000;"PA2213:Ypdb:f7164d7c9795a5b45514bde30bbcebb7";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2600298";"PA0490::958b368b987d32b4e11131c6418b8205";"";"";"";"";39.191,000;"PA2213:z:cebb5e2b709574a39114570e84cc1de1";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2600323";"PA0490::958b368b987d32b4e11131c6bdfd8205";"";"";"";"";8.714,000;"PA2213:Ypdb:f7164d7c9795a5b45514bde3d925dab8";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2600497";"PA0490::958b368b987d32b4e11131c69eac8505";"";"";"";"";40.051,000;"PA2213:z:eb842012903e2abddd14fce48c0da18d";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2600517";"PA0490::958b368b987d32b4e11131c61a1f8605";"";"";"";"";16.465,000;"PA2213:z:85c04ddbbbd15fb0c9141e0394399954";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2600518";"PA0490::958b368b987d32b4e11131c61b1f8605";"";"";"";"";543.645,000;"PA2213:Ypdb:f7164d7c9795a5b45514bde36c91c8b9";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2600609";"PA0490::958b368b987d32b4e11131c6ca009105";"";"";"";"";152.451,000;"PA2213:Ypdb:f7164d7c9795a5b45514bde316fcb6ba";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2600631";"PA0490::958b368b987d32b4e11131c6e90b9205";"";"";"";"";3.223,000;"PA2213:z:f8ff992d6bf92b84d51471d7182125ba";"";0,000;nein
"100";120;"PA0823::958b368b987d32b4e1112cc679eac983";"2600642";"PA0490::958b368b987d32b4e11131c68ea49205";"";"";"";"";15.065,000;"PA2213:z:c26ce7af2fb5d9b9d11487aabc4a4916";"";0,000;nein
