Teil;Datum Änderung;aktiver SiBe
2000040;03.08.2023;1766
2000040;05.07.2024;883
2000338;03.08.2023;24253
2000338;12.06.2024;2000
2000338;12.02.2025;7500
2000396;11.06.2024;5000
2000605;10.03.2021;10000
2000605;19.12.2023;5000
2000605;05.07.2024;2500
2000605;19.12.2024;0
2000605;06.01.2025;2500
2000807;11.06.2024;1260
2000809;22.09.2021;10000
2000809;22.09.2021;0
2000809;11.06.2024;1000
2000900;31.08.2021;730
2000900;24.10.2022;283
2000900;22.11.2022;167
2000900;03.08.2023;99
2400229;11.06.2024;500
2500484;11.12.2020;5000
2500484;12.06.2024;1000
2600073;31.08.2021;10
2600199;19.07.2022;3300
2600199;23.06.2025;2500
2600298;19.07.2022;40000
2600298;12.07.2024;24000
2600323;31.08.2023;2000
2600323;18.07.2024;0
2600323;12.02.2025;2000
2600323;23.06.2025;3000
2600497;23.06.2025;24000
2600517;31.08.2021;6890
2600517;19.07.2022;10000
2600517;04.08.2023;6847
2600517;10.07.2024;0
2600517;28.01.2025;3500
2600517;23.06.2025;7500
2600518;19.07.2022;50000
2600518;02.05.2023;0
2600518;28.01.2025;20000
2600609;19.07.2022;84000
2600609;04.08.2023;49121
2600609;23.06.2025;50000
2600631;31.08.2021;140
2600631;19.07.2022;1800
2600642;31.08.2021;2820
2600642;19.07.2022;3200
2600642;22.11.2022;2112
2600642;04.08.2023;1825
2600642;31.08.2023;1000
2600642;28.01.2025;1500
2600642;23.06.2025;5000
